26,2,5,0,12,3,0,0,1,0,12,0
0,2,5,2,3,0,0,1,1,0,3,0
41,2,12,0,2,3,0,0,1,0,50,0
12,0,6,1,6,1,0,0,1,0,0,0
35,1,10,1,5,1,0,0,1,0,6,0
35,5,1,0,11,4,0,1,1,0,0,0
37,2,0,0,3,0,2,0,52,0,0,0
22,2,5,0,12,3,0,1,1,0,2,0
49,2,1,1,7,1,0,0,1,0,0,0
37,2,12,1,2,1,0,0,1,0,0,0
30,2,1,4,6,0,0,0,1,0,0,0
35,2,0,1,3,1,0,0,1,0,3,0
11,2,1,0,0,0,0,1,1,0,0,0
21,2,1,0,9,3,1,1,1,0,0,0
52,0,3,1,1,2,0,1,31,0,0,0
2,3,5,2,0,4,0,1,1,0,0,0
32,2,4,0,4,3,1,0,1,0,7,0
19,2,0,4,0,4,0,0,1,0,8,0
28,2,0,1,1,1,0,0,1,0,4,0
11,2,5,0,2,3,0,0,1,0,19,1
41,2,2,0,5,3,0,1,1,0,9,0
12,3,1,0,4,3,1,0,1,0,0,0
16,2,12,0,9,0,1,0,1,0,0,0
27,2,5,1,6,1,0,0,1,0,23,0
21,2,1,0,6,3,0,0,1,0,3,0
14,1,10,1,3,1,0,0,1,0,16,0
34,0,9,1,3,1,0,0,8,0,3,0
4,2,0,0,6,3,1,0,1,0,0,0
57,5,1,1,11,1,2,0,1,0,27,28
2,2,5,1,3,1,0,0,1,0,0,0
6,2,5,0,1,0,1,1,1,0,0,0
3,2,0,1,3,1,0,0,8,0,0,0
12,2,5,0,1,3,0,0,1,0,0,0
0,2,5,0,6,0,0,0,1,0,4,0
12,2,1,4,1,0,0,0,1,0,0,4
31,0,5,0,0,4,2,1,1,0,0,13
25,2,7,1,5,1,0,0,1,0,0,0
8,2,1,1,9,1,0,0,1,0,4,0
22,2,1,0,0,3,0,1,1,0,0,0
5,2,6,2,10,0,0,1,1,0,0,0
0,2,5,0,9,3,0,0,1,0,0,0
12,2,1,1,9,1,0,0,1,0,0,0
4,2,1,1,7,1,0,0,1,0,0,0
45,2,8,1,8,1,0,0,1,0,0,0
12,2,4,1,6,1,0,0,1,0,0,0
8,2,1,0,4,0,4,1,1,0,7,0
29,2,0,1,1,1,1,0,1,3,0,0
32,2,1,1,6,1,0,0,1,0,13,0
57,2,1,6,6,4,1,1,1,0,0,0
26,5,0,0,11,0,2,0,1,0,13,4
